id,name,latitude,longitude,description
1100279,wrf_5.777153_81.727028,5.777153,81.727028,"WRF point"
1100280,wrf_5.777153_81.754257,5.777153,81.754257,"WRF point"
1100281,wrf_5.777153_81.781487,5.777153,81.781487,"WRF point"
1100282,wrf_5.777153_81.808716,5.777153,81.808716,"WRF point"
1100283,wrf_5.777153_81.835945,5.777153,81.835945,"WRF point"
1100284,wrf_5.777153_81.863174,5.777153,81.863174,"WRF point"
1100285,wrf_5.777153_81.890404,5.777153,81.890404,"WRF point"
1100286,wrf_5.777153_81.917633,5.777153,81.917633,"WRF point"
1100287,wrf_5.777153_81.944855,5.777153,81.944855,"WRF point"
1100288,wrf_5.777153_81.972084,5.777153,81.972084,"WRF point"
1100289,wrf_5.777153_81.999313,5.777153,81.999313,"WRF point"
1100290,wrf_5.777153_82.026543,5.777153,82.026543,"WRF point"
1100291,wrf_5.777153_82.053772,5.777153,82.053772,"WRF point"
1100292,wrf_5.777153_82.081001,5.777153,82.081001,"WRF point"
1100293,wrf_5.777153_82.108231,5.777153,82.108231,"WRF point"
1100294,wrf_5.777153_82.135460,5.777153,82.135460,"WRF point"
1100295,wrf_5.777153_82.162689,5.777153,82.162689,"WRF point"
1100296,wrf_5.777153_82.189919,5.777153,82.189919,"WRF point"
1100297,wrf_5.804245_79.521461,5.804245,79.521461,"WRF point"
1100298,wrf_5.804245_79.548691,5.804245,79.548691,"WRF point"
1100299,wrf_5.804245_79.575920,5.804245,79.575920,"WRF point"
1100300,wrf_5.804245_79.603149,5.804245,79.603149,"WRF point"
1100301,wrf_5.804245_79.630379,5.804245,79.630379,"WRF point"
1100302,wrf_5.804245_79.657608,5.804245,79.657608,"WRF point"
1100303,wrf_5.804245_79.684837,5.804245,79.684837,"WRF point"
1100304,wrf_5.804245_79.712067,5.804245,79.712067,"WRF point"
1100305,wrf_5.804245_79.739296,5.804245,79.739296,"WRF point"
1100306,wrf_5.804245_79.766525,5.804245,79.766525,"WRF point"
1100307,wrf_5.804245_79.793747,5.804245,79.793747,"WRF point"
1100308,wrf_5.804245_79.820976,5.804245,79.820976,"WRF point"
1100309,wrf_5.804245_79.848206,5.804245,79.848206,"WRF point"
1100310,wrf_5.804245_79.875435,5.804245,79.875435,"WRF point"
1100311,wrf_5.804245_79.902664,5.804245,79.902664,"WRF point"
1100312,wrf_5.804245_79.929893,5.804245,79.929893,"WRF point"
1100313,wrf_5.804245_79.957123,5.804245,79.957123,"WRF point"
1100314,wrf_5.804245_79.984352,5.804245,79.984352,"WRF point"
1100315,wrf_5.804245_80.011581,5.804245,80.011581,"WRF point"
