flo2d_250_station_id,ob_1_id,ob_1_dist,ob_2_id,ob_2_dist,ob_3_id,ob_3_dist,ob_4_id,ob_4_dist,ob_5_id,ob_5_dist,ob_6_id,ob_6_dist,ob_7_id,ob_7_dist,ob_8_id,ob_8_dist,ob_9_id,ob_9_dist,ob_10_id,ob_10_dist
6691,100057,11.464826080380464,100056,13.725977783206602,100042,14.095641588916711,100043,14.421203133192874,100038,17.491342306462332,100064,20.27624977451382,100039,33.40959091420465,100063,36.76745075216448,100037,41.653342138226144,100041,75.38805760404495
6692,100057,11.57123185194311,100056,13.791745157053727,100042,14.296139416929243,100043,14.535893746690181,100038,17.529120671725053,100064,20.422533794696736,100039,33.23991746952167,100063,36.68222296529251,100037,41.695412237160966,100041,75.2537902391583
6693,100057,11.682075153046554,100056,13.861756979532439,100042,14.498220459829115,100043,14.653996654746484,100038,17.570412373316444,100064,20.57084762211986,100039,33.071283086681824,100063,36.598522254408635,100037,41.73895295922553,100041,75.12012354297843
6694,100057,11.797230904896608,100056,13.935949281718692,100042,14.701819432125234,100043,14.77543003235232,100038,17.615192704525633,100064,20.72114767158847,100039,32.903703741412244,100063,36.516359120582756,100037,41.7839597072338,100041,74.98706072772761
6695,100057,11.91657408602041,100056,14.014255668438814,100043,14.90011245163875,100042,14.90687413865036,100038,17.66343513283642,100064,20.873391037444755,100039,32.73719563571339,100063,36.435743965464134,100037,41.83042774867913,100041,74.85460501372569
6696,100057,12.03998017757309,100056,14.09660757867686,100043,15.027963043795689,100042,15.113325324673626,100038,17.715111372752258,100064,21.027535509379053,100039,32.571775198390995,100063,36.356687086116104,100037,41.87835221962187,100041,74.72275962950278
6697,100057,12.167325557174289,100056,14.182934542849686,100043,15.158901647563576,100042,15.321116539047361,100038,17.770191468009916,100064,21.183539587028225,100039,32.40745908499261,100063,36.27919867006702,100037,41.92772812603515,100041,74.59152781142741
6698,100057,12.299076522495003,100056,14.273572247165136,100043,15.2934482002734,100042,15.531121896466141,100038,17.82890995584124,100064,21.34206480283977,100039,32.24354459386183,100063,36.202956426078934,100037,41.97877842915176,100041,74.4603362367014
6699,100057,12.433951033791342,100056,14.367648313220016,100043,15.430338626555102,100042,15.74143969147411,100038,17.8907163118686,100064,21.501674260538213,100039,32.08149307920492,100063,36.128642078849666,100037,42.03104808078602,100041,74.3303440417205
6700,100057,12.57240220242056,100056,14.465478738894351,100043,15.57008176460659,100042,15.952943414135158,100038,17.95582729122744,100064,21.663023002553988,100039,31.920597295444725,100063,36.055926081748204,100037,42.08475340651888,100041,74.20097518195782
6701,100057,12.71431318481849,100056,14.566987882830237,100043,15.712601500779206,100042,16.165586517699527,100038,18.024207080256502,100064,21.826072455691268,100039,31.760874807032835,100063,35.984818124467736,100037,42.139888917548646,100041,74.07223292340207
6702,100057,12.859569439679973,100056,14.672099390655601,100043,15.85782297215897,100042,16.379324624621503,100038,18.095818622939685,100064,21.99078479054389,100039,31.60234340341554,100063,35.91532775781427,100037,42.19644900732799,100041,73.94412053879252
6703,100057,13.008058902432465,100056,14.780736410561472,100043,16.005672640718664,100042,16.59411542426961,100038,18.170623710057708,100064,22.15712292264514,100039,31.445021099779122,100063,35.84746438928945,100037,42.25442795582569,100041,73.81664130800978
